title,content,label
Príjmy vedúcich policajných funkcionárov,A verejnosť tak mohla o celkových príjmoch policajnej elity u nás iba špekulovať. Jeho príjem za vlaňajšok v celkovej výške takmer 44-tisíc eur totiž prekonal viceprezident polície Ľubomír Ábel. Príjmy vedúcich policajných funkcionárov,0
Korekcie eurofondov,"Financie získava späť Európska komisia. Najnižšia výška korekcií bola zaznamenaná v programe Rybné hospodárstvo, išlo o 28,95 tisíca eur. V rámci únie sa čerpaním eurofondov zaoberá Európsky dvor audítorov, ktorý robí audit príjmov a výdavkov EÚ a kontroluje orgány, ktoré narábajú s finančnými prostriedkami EÚ.",0
Súd potvrdil pokutu pre banku Penty,Najvyšší súd potvrdil 55-tisícovú pokutu pre Privatbanku od Spravodajskej jednotky finančnej polície pre nesplnenie povinností pri ochrane pred legalizáciou príjmov z trestnej činnosti.,0
Ako vykradnúť banku: Ekonómovia zostavili vzorec pre dokonalý zločin,"Aj keď každá ďalšia minúta v banke vedie v priemere k príjmom o viac ako 1 400 eur, väčšina lúpeží trvá tri minúty alebo menej, pretože riziko chytenia sa časom zvyšuje. Zisky sú kvantifikovateľné.",0
Podvodník prehovoril o nekalých praktikách: Žijem z okrádania pokladníčok a obchodníkov!,"A už idem v niečom inom... čo prináša väčšie zisky,"" dodal podvodník. Jedna partia za deň dokáže ""urobiť"" aj tri obchody v jednom meste za dopoludnie, presunúť sa do susedného mesta a tam popoludní ""urobiť"" ďalšie tri obchody.",0
"Technológia, ktorá nám pomôže vybudovať nový svet","Možno ste počuli o prebiehajúcej ICO mánií (ICO – Initial Coin Offering) a posledných turbulenciách v cenách Bitcoinu a Etherea. Tieto firmy svojími technológiami a objavmi zlepšia v budúcnosti nielen priemysel ale všetkému vdýchnu úplne nový rozmer ktorý si dokážeme len čiastočne predstaviť vďaka sci-fi žánru. Čaká nás obrovské množstvo práce, na ktorú sa teším.",0
Pod vládou kryptomien: Koniec bankovníctva a úverovania ako ho poznáme,"Aby dokázali poskytnúť likviditu pre rast bez inflácie. Celý svet funguje na úver. Dnešné centrálne banky zvyčajne ovplyvňujú ceny aktív prostredníctvom primárnych obchodníkov alebo veľkých bánk, ktorým poskytujú likviditu za pevné ceny - tzv. Na úverových trhoch založených na kryptomenách uvidíme opačný trend: kratšie termíny, vyššie požiadavky na kolaterál, veľmi jasné podmienky, ktoré vymedzujú nesporné práva na vlastníctvo a presadzovanie termínov zapracovaných do úverových protokolov. Niektoré by mali len čiastkové rezervy v Bitcoinoch, iné 100 % pokrytie.Úrokové sadzby sa môžu líšiť. Niečo také nebolo v histórii peňazí a financií doteraz možné. Sme zvyknutí hovoriť, že celý svet funguje na úver. Takéto úverové trhy sa dnes u postupne rozvíjajú. To je ale presne tak, ako to dnes funguje v hotovostnej ekonomike: ak priateľovi dáte hotovosť, nebudete ju predsa naspäť násilne vymáhať. Už viac ako jedno storočie sa bankový systém používa na financovanie štátu, destabilizáciu hospodárstva, splácanie súkromných úspor, vylúčenie ľudí zo sytému, ktorí nemajú prístup k bankám, na podporu finančnej závislosti a dokonca vytváranie násilia v bezprecedentnom rozsahu. V období medzi transakciou a zúčtovaním sa peniaze stávajú úverom vydaným a prijatým len na základe dôvery. V priebehu storočia centrálneho bankovníctva vidíme, že úrokové sadzby sa neúprosne znižujú a emisné podmienky sa dramaticky menia a uprednostňujú sa dlhšie obdobia, čoraz menej zábezpeky a čoraz zložitejšie formy vlastníctva. Výsledkom toho je, že každá transakcia, ktorá sa neuskutočňuje osobne v hotovosti, závisí od určitého rozšírenia úveru, a preto zahŕňa sprostredkovanie tretích strán a to zase nevyhnutne zahŕňa určité riziko zmluvnej strany. Zvyšné peniaze môžu byť uložené v podielových fondoch alebo investované do platobných platforiem typu ""peer-to-peer"" s využitím big data a umelej inteligencie pre automatické zhodnocovanie... Niekto tvrdí, že to spochybňuje model tradičného bankovníctva, ak vieme, že sa do ekonomiky pripojí viac peňažných tokov prostredníctvom nových kanálov. operácie na voľnom trhu. Čo sa stane s týmito troma funkciami v peňažnej ekonomike založenej na kryptomenách?",0
Exekútori vysielajú pred Vianocami varovanie: Zadlženie sa môže mať fatálne následky,"""Ak sa už ľudia predsa len rozhodnú využiť možnosť pôžičky, mali by si pozorne preštudovať jej podmienky. ""Svoje dlhy totiž raz budú musieť splatiť a veriteľov, žiaľ, nebude zaujímať, že o ne požiadali pod vplyvom emócií a v túžbe urobiť radosť svojim najbližším,"" podotkla Kolesárová. Komora preto vyzýva verejnosť, aby dôkladne zvážila, či si v súvislosti s nákupmi vianočných darčekov vezmú nové úvery. Kľúčovým ukazovateľom pritom nie je výška úroku, ale takzvaná hodnota ročnej percentuálnej miery nákladov (RPMN), ktorá zahŕňa aj ďalšie náklady, vrátane rôznych možných poplatkov. Nesplácanie úverov vedie podľa SKE klientov bankových či nebankových inštitúcií neraz do ďalších pôžičiek, avšak už za podstatne nevýhodnejších podmienok, ktorými sa pokúšajú splácať predchádzajúce záväzky.",0
"Odpoveď na jednoduchú otázku vám napovie, či ste skutočne bohatí, alebo nie","""A s týmto príjmom dokážete prežiť istý čas, ako by sa nič nestalo. ""Keď vlastníte akcie obchodované na burze, dávate do prenájmu nehnuteľností alebo vlastníte prekvitajúcu firmu, aj keby ste prišli o svoju prácu a príjmy z nej, vaše ostatné zdroje nevyschnú,"" píše Sall. ""Môžete šoférovať luxusné auto za 40 000, alebo bývať v dome za pol milióna, ale ak máte dlh 600 000, potom máte menej než sedemročné dieťa,"" hovorí Derek Sall, finančný bloger a analytik, ktorý tvrdí, že si stačí položiť jednoduchú otázku, ktorá nám dá jasnú odpoveď na to, či sme bohatí, alebo nie. Ak už svoj finančný vankúš vybudovaný máte, začnite rozvíjať aktíva, ktoré prinášajú príjmy. Hovorí sa, že priemerný milionár má aspoň sedem zdrojov príjmu. Je ľahké posudzovať bohatstvo na základe toho, čo vlastníte, ale v skutočnosti hmotné majetky nehovoria nič o skutočnom stave vašich financií. Miliardár Mark Cuban hovorí, si treba odložiť príjem na úrovni posledných šiestich výplat, iní dokonca odporúčajú ušetriť sumu na úrovni 8 až 12 mesiacov. Obaja otcovia boli úspešní v rámci svojej kariéry a dosiahli značné príjmy, ale jeden napriek tomu musel stále s financiami bojovať. Skúste sa zbaviť dlhov čo najskôr, možno prácou na čiastočný úväzok alebo získaním bočného príjmu. Tento dodatočný príjem môže byť použitý na pokrytie mesačných splátok alebo ako akcelerátor zúročenia investície. Tá otázka znie: ak by ste zajtra prišli z nejakého dôvodu o svoju prácu, ako dlho dokážete prežiť? Tá sa odvíja od toho, ako dlho by ste mohli prežiť bez zdroja príjmu: Menej ako mesiac: úplný prepad Jeden až tri mesiace: balansovanie Tri až šesť mesiacov: celkom uspokojivé Šesť mesiacov až dva roky: dobré Dva až päť rokov: ste bohatí Päť alebo viac rokov: ste veľmi bohatí Táto definícia bohatstva je jedným z kľúčových odporúčaní finančného klasika Roberta Kiyosakiho, autora knihy ""Bohatý otec, chudobný otec"". Zbavte sa dlhov Peniaze na splácanie dlhov a úrokov spomaľujú sporenie. Zvyšujte svoje pasívne príjmy Pridaním pasívneho toku príjmov, z dividend, či z prenájmu nevyužitého priestoru, môžete urýchliť svoj pokrok v dosiahnutí bohatstva. Úroky z úrokov určite potešia.",0
"Starý nábytok predali netušiac, aký poklad sa v ňom skrýva: Informácie, ktoré mali byť navždy utajené","Ako uviedla spravodajská stanica ABC, skrinky predali v obchode s nábytkom v austrálskej metropole Canberra za zvýhodnenú cenu, pretože boli uzamknuté a kľúče k nim nevedel nikto nájsť.",0
